Entity,Definition
Parent,A parent is a caregiver of the offspring in their own species.
Material,Material is a substance or mixture of substances that constitutes an object.
Material,Material is a substance or mixture of substances that constitutes an object.
Column,"A column or pillar in architecture and structural engineering is a structural element that transmits, through compression, the weight of the structure above to other structural elements below."
Material,Material is a substance or mixture of substances that constitutes an object.
 grouped object,Not found on Wikipedia
Object,Object may refer to:
Scientific chart,Not found on Wikipedia
Textile,"Textile is an umbrella term that includes various fiber-based materials, including fibers, yarns, filaments, threads, different fabric types, etc."
TIES OF MATERIALS,Not found on Wikipedia
Plastic,Plastics are a wide range of synthetic or semi-synthetic materials that use polymers as a main ingredient.
Cookware,Not found on Wikipedia
Iron,Iron ( or ) is a chemical element with symbol Fe (from Latin: ferrum) and atomic number 26.
Aluminium,Aluminium (aluminum in North American English) is a chemical element with the symbol Al and atomic number 13.
Copper,Copper is a chemical element with the symbol Cu (from Latin: cuprum) and atomic number 29.
Paper,"Paper is a thin sheet material produced by mechanically or chemically processing cellulose fibres derived from wood, rags, grasses or other vegetable sources in water, draining the water through fine mesh leaving the fibre evenly distributed on the surface, followed by pressing and drying."
Material,Material is a substance or mixture of substances that constitutes an object.
Face (art),Not found on Wikipedia
Face (art),Not found on Wikipedia
Shine,Shine may refer to:
Sandpaper,Sandpaper and glasspaper are names used for a type of coated abrasive that consists of sheets of paper or cloth with abrasive material glued to one face.
Construction,"Construction is a general term meaning the art and science to form objects, systems, or organizations, and comes from Latin constructio (from com- ""together"" and struere ""to pile up"") and Old French construction."
Property (chemistry),Not found on Wikipedia
Material,Material is a substance or mixture of substances that constitutes an object.
Metal,"A metal (from Greek μέταλλον métallon, ""mine, quarry, metal"") is a material that, when freshly prepared, polished, or fractured, shows a lustrous appearance, and conducts electricity and heat relatively well."
Shine,Shine may refer to:
Iron,Iron ( or ) is a chemical element with symbol Fe (from Latin: ferrum) and atomic number 26.
Compress,compress is a Unix shell compression program based on the LZW compression algorithm.
Hardness,"In materials science, hardness (antonym: softness) is a measure of the resistance to localized plastic deformation induced by either mechanical indentation or abrasion."
Cotton,"Cotton is a soft, fluffy staple fiber that grows in a boll, or protective case, around the seeds of the cotton plants of the genus Gossypium in the mallow family Malvaceae."
Lustre hardness,Not found on Wikipedia
Glass,"Glass is a non-crystalline, often transparent, amorphous solid that has widespread practical, technological, and decorative use in, for example, window panes, tableware, and optics."
Chemical substance,A chemical substance is a form of matter having constant chemical composition and characteristic properties.
Stirring,Not found on Wikipedia
Musical composition,"Musical composition can refer to an original piece or work of music, either vocal or instrumental, the structure of a musical piece or to the process of creating or writing a new piece of music."
Chemical substance,A chemical substance is a form of matter having constant chemical composition and characteristic properties.
Solid,"Solid is one of the four fundamental states of matter (the others being liquid, gas, and plasma)."
Chemical substance,A chemical substance is a form of matter having constant chemical composition and characteristic properties.
Science illustrator,Not found on Wikipedia
Activity (psychology),Not found on Wikipedia
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Liquid,A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure.
Glass,"Glass is a non-crystalline, often transparent, amorphous solid that has widespread practical, technological, and decorative use in, for example, window panes, tableware, and optics."
 Stir,"Stir, STIR, stirred, or stirrer may refer to:"
Liquid,A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure.
Gas,Gas is one of the four fundamental states of matter.
Neural oscillation,"Neural oscillations, or brainwaves, are rhythmic or repetitive patterns of neural activity in the central nervous system."
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Sinking,Sinking may refer to:
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Game,"A game is a structured form of play, usually undertaken for entertainment or fun, and sometimes used as an educational tool."
Thought,"In their most common sense, the terms thought and thinking refer to conscious cognitive processes that can happen independently of sensory stimulation."
Glass,"Glass is a non-crystalline, often transparent, amorphous solid that has widespread practical, technological, and decorative use in, for example, window panes, tableware, and optics."
Material,Material is a substance or mixture of substances that constitutes an object.
Material,Material is a substance or mixture of substances that constitutes an object.
Sugar,"Sugar is the generic name for sweet-tasting, soluble carbohydrates, many of which are used in food."
Material,Material is a substance or mixture of substances that constitutes an object.
Cardboard,Cardboard is a generic term for heavy paper-based products.
Material,Material is a substance or mixture of substances that constitutes an object.
Material,Material is a substance or mixture of substances that constitutes an object.
Drop (pharmacy),Not found on Wikipedia
Bottle,"A bottle is a narrow-necked container made of an impermeable material (such as glass, plastic or aluminium) in various shapes and sizes that stores and transports liquids."
Material,Material is a substance or mixture of substances that constitutes an object.
Paper,"Paper is a thin sheet material produced by mechanically or chemically processing cellulose fibres derived from wood, rags, grasses or other vegetable sources in water, draining the water through fine mesh leaving the fibre evenly distributed on the surface, followed by pressing and drying."
Fat,"In nutrition, biology, and chemistry, fat usually means any ester of fatty acids, or a mixture of such compounds, most commonly those that occur in living beings or in food.The term often refers specifically to triglycerides (triple esters of glycerol), that are the main components of vegetable oils and of fatty tissue in animals; or, even more narrowly, to triglycerides that are solid or semisolid at room temperature, thus excluding oils."
Torch,"A torch is a stick with combustible material at one end, which can be used as a light source or to set something on fire."
Light source,Not found on Wikipedia
Liquid,A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure.
Material,Material is a substance or mixture of substances that constitutes an object.
Grouping of materials,Not found on Wikipedia
Tool,A tool is an object that can extend an individual's ability to modify features of the surrounding environment or help them accomplish a particular task.
Grain,"A grain is a small, hard, dry fruit (caryopsis) – with or without an attached hull layer – harvested for human or animal consumption."
Dividing material,Not found on Wikipedia
Latin phrase,Not found on Wikipedia
Softness,Not found on Wikipedia
In insoluble,Not found on Wikipedia
Material,Material is a substance or mixture of substances that constitutes an object.
Material,Material is a substance or mixture of substances that constitutes an object.
Material,Material is a substance or mixture of substances that constitutes an object.
Polygon,"In geometry, a polygon () is a plane figure that is described by a finite number of straight line segments connected to form a closed polygonal chain (or polygonal circuit)."
Object,Object may refer to:
Spoon,"A spoon is a utensil consisting of a shallow bowl (also known as a head), oval or round, at the end of a handle."
Notebook,"A notebook (also known as a notepad, writing pad, drawing pad, or legal pad) is a book or stack of paper pages that are often ruled and used for purposes such as note-taking, journaling or other writing, drawing, or scrapbooking."
Dissolve in water,Not found on Wikipedia
Wood,Wood is a structural tissue found in the stems and roots of trees and other woody plants.
Game,"A game is a structured form of play, usually undertaken for entertainment or fun, and sometimes used as an educational tool."
Furniture,"Furniture refers to movable objects intended to support various human activities such as seating (e.g., stools, chairs, and sofas), eating (tables), storing items, eating and/or working with an item, and sleeping (e.g., beds and hammocks)."
Edible mushroom,Edible mushrooms are the fleshy and edible fruit bodies of several species of macrofungi (fungi which bear fruiting structures that are large enough to be seen with the naked eye).
Video game,"A video game is an electronic game that involves interaction with a user interface or input device – such as a joystick, controller, keyboard or motion sensing device – to generate visual feedback from a display device, most commonly shown in a video format on a television set, computer monitor, flat-panel display/touchscreen on handheld devices or virtual reality headset, hence the name."
Material property,Not found on Wikipedia
Electricity,Electricity is the set of physical phenomena associated with the presence and motion of matter that has a property of electric charge.
Algebraic structure,"In mathematics, an algebraic structure consists of a nonempty set A (called the underlying set, carrier set or domain), a collection of operations on A (typically binary operations such as addition and multiplication), and a finite set of identities, known as axioms, that these operations must satisfy."
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Settlement (geology),Not found on Wikipedia
Dissolve in water,Not found on Wikipedia
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Petroleum,"Petroleum, also known as crude oil, or simply oil, is a naturally occurring yellowish-black liquid mixture of mainly hydrocarbons, and is found in geological formations."
Copper,Copper is a chemical element with the symbol Cu (from Latin: cuprum) and atomic number 29.
Daliya,Not found on Wikipedia
Tea leaves,Not found on Wikipedia
Milk,Milk is a white liquid food produced by the mammary glands of mammals.
Column 3,Not found on Wikipedia
Columns 3,Not found on Wikipedia
Chemical substance,A chemical substance is a form of matter having constant chemical composition and characteristic properties.
Tea,"Tea is an aromatic beverage prepared by pouring hot or boiling water over cured or fresh leaves of Camellia sinensis, an evergreen shrub native to East Asia which probably originated in the borderlands of southwestern China and northern Myanmar."
Chemical substance,A chemical substance is a form of matter having constant chemical composition and characteristic properties.
Substance,Substance may refer to:
Solid,"Solid is one of the four fundamental states of matter (the others being liquid, gas, and plasma)."
Chemical substance,A chemical substance is a form of matter having constant chemical composition and characteristic properties.
Food,Food is any substance consumed by an organism for nutritional support.
Cereal,"A cereal is any grass cultivated for the edible components of its grain (botanically, a type of fruit called a caryopsis), which is composed of an endosperm, a germ, and a bran."
Rice,Rice is the seed of the grass species Oryza sativa (Asian rice) or less commonly O. glaberrima (African rice).
Rome,Rome (Italian and Latin: Roma [ˈroːma] (listen)) is the capital city of Italy.
Separation process,"A separation process is a method that converts a mixture or a solution of chemical substances into two or more distinct product mixtures,  a scientific process of separating two or more substance in order to obtain purity."
Grain,"A grain is a small, hard, dry fruit (caryopsis) – with or without an attached hull layer – harvested for human or animal consumption."
Seed,"In botany, seed is an undeveloped plant embryo and food reserve enclosed in a protective outer covering."
Seed,"In botany, seed is an undeveloped plant embryo and food reserve enclosed in a protective outer covering."
Throwing,"Throwing is an action which consists in accelerating a projectile and then releasing it so that it follows a ballistic trajectory, usually with the aim of impacting a remote target."
Grain,"A grain is a small, hard, dry fruit (caryopsis) – with or without an attached hull layer – harvested for human or animal consumption."
Plate (food),Not found on Wikipedia
Chemical substance,A chemical substance is a form of matter having constant chemical composition and characteristic properties.
Plate,Plate may refer to:
Occupation,Occupation commonly refers to:
Cooking,"Cooking, cookery, or culinary arts is the art, science and craft of using heat to prepare food for consumption."
Sand,Sand is a granular material composed of finely divided mineral particles.
Air,Not found on Wikipedia
Bullock,Bullock may refer to:
Machinery,Not found on Wikipedia
Sawdust,"Sawdust (or wood dust) is a by-product or waste product of woodworking operations such as sawing, sanding, milling, planing, and routing."
Grain,"A grain is a small, hard, dry fruit (caryopsis) – with or without an attached hull layer – harvested for human or animal consumption."
Cereal,"A cereal is any grass cultivated for the edible components of its grain (botanically, a type of fruit called a caryopsis), which is composed of an endosperm, a germ, and a bran."
Fodder,"Fodder (), also called provender (), is any agricultural foodstuff used specifically to feed domesticated livestock, such as cattle, rabbits, sheep, horses, chickens and pigs."
Sieving,Not found on Wikipedia
Impurities,Not found on Wikipedia
Sieve,"A sieve, fine mesh strainer, or sift, is a device for separating wanted elements from unwanted material or for controlling the particle size distribution of a sample, using a screen such as a woven mesh or net or perforated sheet material."
Sieving,Not found on Wikipedia
Flour mill,Not found on Wikipedia
Gristling,Not found on Wikipedia
Wheat,"Wheat is a grass widely cultivated for its seed, a cereal grain that is a worldwide staple food."
Stone,Not found on Wikipedia
Sieve,"A sieve, fine mesh strainer, or sift, is a device for separating wanted elements from unwanted material or for controlling the particle size distribution of a sample, using a screen such as a woven mesh or net or perforated sheet material."
Separation process,"A separation process is a method that converts a mixture or a solution of chemical substances into two or more distinct product mixtures,  a scientific process of separating two or more substance in order to obtain purity."
Separation process,"A separation process is a method that converts a mixture or a solution of chemical substances into two or more distinct product mixtures,  a scientific process of separating two or more substance in order to obtain purity."
Decantation,Decantation is a process for the separation of mixtures of immiscible liquids or of a liquid and a solid mixture such as a suspension.
Rice,Rice is the seed of the grass species Oryza sativa (Asian rice) or less commonly O. glaberrima (African rice).
Construction,"Construction is a general term meaning the art and science to form objects, systems, or organizations, and comes from Latin constructio (from com- ""together"" and struere ""to pile up"") and Old French construction."
Stone,Not found on Wikipedia
Mixture,"In chemistry, a mixture is a material made up of two or more different chemical substances which are not chemically bonded."
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Sedimentation,Sedimentation is the deposition of sediments.
Liquid,A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure.
Mixture,"In chemistry, a mixture is a material made up of two or more different chemical substances which are not chemically bonded."
Separation,Separation may refer to:
Liquid,A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure.
Tea,"Tea is an aromatic beverage prepared by pouring hot or boiling water over cured or fresh leaves of Camellia sinensis, an evergreen shrub native to East Asia which probably originated in the borderlands of southwestern China and northern Myanmar."
Decantation,Decantation is a process for the separation of mixtures of immiscible liquids or of a liquid and a solid mixture such as a suspension.
Drinking water,Drinking water is water that is used in drink or food preparation; potable water is water that is safe to be used as drinking water.
Tea,"Tea is an aromatic beverage prepared by pouring hot or boiling water over cured or fresh leaves of Camellia sinensis, an evergreen shrub native to East Asia which probably originated in the borderlands of southwestern China and northern Myanmar."
Separation process,"A separation process is a method that converts a mixture or a solution of chemical substances into two or more distinct product mixtures,  a scientific process of separating two or more substance in order to obtain purity."
Water fountain,Not found on Wikipedia
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Glass,"Glass is a non-crystalline, often transparent, amorphous solid that has widespread practical, technological, and decorative use in, for example, window panes, tableware, and optics."
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Water filtering,Not found on Wikipedia
Cloth,Not found on Wikipedia
Separation process,"A separation process is a method that converts a mixture or a solution of chemical substances into two or more distinct product mixtures,  a scientific process of separating two or more substance in order to obtain purity."
Cottage cheese,"Cottage cheese is a curdled milk product with a mild flavor and a creamy, non-homogeneous, soupy texture."
Milk,Milk is a white liquid food produced by the mammary glands of mammals.
Solid,"Solid is one of the four fundamental states of matter (the others being liquid, gas, and plasma)."
Blinking,Blinking is a bodily function; it is a semi-autonomic rapid closing of the eyelid.
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Filter,"Filter, filtering or filters may refer to:"
Paper,"Paper is a thin sheet material produced by mechanically or chemically processing cellulose fibres derived from wood, rags, grasses or other vegetable sources in water, draining the water through fine mesh leaving the fibre evenly distributed on the surface, followed by pressing and drying."
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Cooking,"Cooking, cookery, or culinary arts is the art, science and craft of using heat to prepare food for consumption."
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Salt,"Salt is a mineral composed primarily of sodium chloride (NaCl), a chemical compound belonging to the larger class of salts; salt in the form of a natural crystalline mineral is known as rock salt or halite."
Water vapor,"Water vapor, water vapour or aqueous vapor is the gaseous phase of water."
Filter paper,Filter paper is a semi-permeable paper barrier placed perpendicular to a liquid or air flow.
Filtration,Filtration is a physical separation process that separates solid matter and fluid from a mixture using a filter medium that has a complex structure through which only the fluid can pass.
Mixture,"In chemistry, a mixture is a material made up of two or more different chemical substances which are not chemically bonded."
Handicraft,"A handicraft, sometimes more precisely expressed as artisanal handicraft or handmade, is any of a wide variety of types of work where useful and decorative objects are made completely by one’s hand or by using only simple, non-automated related tools like scissors, carving implements, or hooks."
Drink,A drink or beverage is a liquid intended for human consumption.
Beaker,Beaker may refer to:
Kettle,"A kettle, sometimes called a tea kettle or teakettle, is a type of pot specialized for boiling water, commonly with a lid, spout, and handle, or a small electric kitchen appliance of similar shape that functions in a self-contained manner."
Kettle,"A kettle, sometimes called a tea kettle or teakettle, is a type of pot specialized for boiling water, commonly with a lid, spout, and handle, or a small electric kitchen appliance of similar shape that functions in a self-contained manner."
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Condensation,"Condensation is    the change of the state of matter from the gas phase into the liquid phase, and is the reverse of vaporization."
Liquid,A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure.
Condensation,"Condensation is    the change of the state of matter from the gas phase into the liquid phase, and is the reverse of vaporization."
Salt,"Salt is a mineral composed primarily of sodium chloride (NaCl), a chemical compound belonging to the larger class of salts; salt in the form of a natural crystalline mineral is known as rock salt or halite."
Condensation,"Condensation is    the change of the state of matter from the gas phase into the liquid phase, and is the reverse of vaporization."
Activity (physics),Not found on Wikipedia
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Solution,Solution may refer to:
Dissolve,Dissolve may refer to:
Solution,Solution may refer to:
Saturated solution,Not found on Wikipedia
Soluble substance,Not found on Wikipedia
Glass,"Glass is a non-crystalline, often transparent, amorphous solid that has widespread practical, technological, and decorative use in, for example, window panes, tableware, and optics."
Glass,"Glass is a non-crystalline, often transparent, amorphous solid that has widespread practical, technological, and decorative use in, for example, window panes, tableware, and optics."
Solution,Solution may refer to:
Salt,"Salt is a mineral composed primarily of sodium chloride (NaCl), a chemical compound belonging to the larger class of salts; salt in the form of a natural crystalline mineral is known as rock salt or halite."
Sugar substitute,"A sugar substitute is a food additive that provides a sweetness like that of sugar while containing significantly less food energy than sugar-based sweeteners, making it a zero-calorie (non-nutritive) or low-calorie sweetener."
Separation process,"A separation process is a method that converts a mixture or a solution of chemical substances into two or more distinct product mixtures,  a scientific process of separating two or more substance in order to obtain purity."
Substance,Substance may refer to:
Mixture,"In chemistry, a mixture is a material made up of two or more different chemical substances which are not chemically bonded."
What is winnowing,Not found on Wikipedia
Cooking,"Cooking, cookery, or culinary arts is the art, science and craft of using heat to prepare food for consumption."
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Sugar,"Sugar is the generic name for sweet-tasting, soluble carbohydrates, many of which are used in food."
Clear water,Not found on Wikipedia
Cereal,"A cereal is any grass cultivated for the edible components of its grain (botanically, a type of fruit called a caryopsis), which is composed of an endosperm, a germ, and a bran."
Seawater,"Seawater, or salt water, is water from a sea or ocean."
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Ice hockey,"Ice hockey (or simply hockey) is a team sport played on ice skates, usually on an ice skating rink with lines and markings specific to the sport."
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Sugar,"Sugar is the generic name for sweet-tasting, soluble carbohydrates, many of which are used in food."
Husk,Husk (or hull) in botany is the outer shell or coating of a seed.
Liquid,A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure.
Soluble substance,Not found on Wikipedia
Impurities,Not found on Wikipedia
Mud,"Mud is soil, loam, silt or clay mixed with water."
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Alum,"An alum () is a type of chemical compound, usually a hydrated double sulfate salt of aluminium with the general formula XAl(SO4)2·12 H2O, where X is a monovalent cation such as potassium or ammonium."
Process (engineering),"In engineering, a process is a series of interrelated tasks that, together, transform inputs into a given output."
Family,Family (from Latin: familia) is a group of people related either by consanguinity (by recognized birth) or affinity (by marriage or other relationship).
Sugar,"Sugar is the generic name for sweet-tasting, soluble carbohydrates, many of which are used in food."
Gustav Courbet,Not found on Wikipedia
Function (physics),Not found on Wikipedia
Album,"An album is a collection of audio recordings issued on compact disc (CD), vinyl, audio tape, or another medium such as digital distribution."
Balloon,"A balloon is a flexible bag that can be inflated with a gas, such as helium, hydrogen, nitrous oxide, oxygen, and air."
Balloon,"A balloon is a flexible bag that can be inflated with a gas, such as helium, hydrogen, nitrous oxide, oxygen, and air."
Air,Not found on Wikipedia
Toy,A toy or plaything is an object that is used primarily to provide entertainment.
President of the United States,The president of the United States (POTUS) is the head of state and head of government of the United States of America.
Supernatural,Supernatural refers to phenomena or entities that are beyond the laws of nature.
Leaf,"A leaf is a principal appendage of the stem of a vascular plant, usually borne laterally aboveground and specialized for photosynthesis."
Activity 4,Not found on Wikipedia
String instrument,"String instruments, stringed instruments, or chordophones are musical instruments that produce sound from vibrating strings when a performer plays or sounds the strings in some manner."
Pointed pencil,Not found on Wikipedia
Stream,A stream is a continuous body of surface water flowing within the bed and banks of a channel.
Activity 5,Not found on Wikipedia
Ball,"A ball is a round object (usually spherical, but can sometimes be ovoid) with several uses."
Taiwan,"Taiwan, officially the Republic of China (ROC), is a country in East Asia."
Roti,Roti (in English known as chapati) is a round flatbread native to the Indian subcontinent.
Balloon,"A balloon is a flexible bag that can be inflated with a gas, such as helium, hydrogen, nitrous oxide, oxygen, and air."
Dough,"Dough is a thick, malleable, sometimes elastic paste made from grains or from leguminous or chestnut crops."
Activity (psychology),Not found on Wikipedia
Activity 5,Not found on Wikipedia
Pottery,"Pottery is the process and the products of forming vessels and other objects with clay and other raw materials, which are fired at high temperatures to give them a hard and durable form."
Clay,"Clay is a type of fine-grained natural soil  material containing clay minerals (hydrous aluminium phyllosilicates, e.g."
Baking,"Baking is a method of preparing food that uses dry heat, typically in an oven, but can also be done in hot ashes, or on hot stones."
Dig,Not found on Wikipedia
Iron,Iron ( or ) is a chemical element with symbol Fe (from Latin: ferrum) and atomic number 26.
Wood,Wood is a structural tissue found in the stems and roots of trees and other woody plants.
Expansion,Expansion may refer to:
Bag,A bag (also known regionally as a sack) is a common tool in the form of a non-rigid container.
Fig. 1,Not found on Wikipedia
Wheel,A wheel is a circular component that is intended to rotate on an axle bearing.
Wood,Wood is a structural tissue found in the stems and roots of trees and other woody plants.
Wheel,A wheel is a circular component that is intended to rotate on an axle bearing.
Wheel,A wheel is a circular component that is intended to rotate on an axle bearing.
Light source,Not found on Wikipedia
Redox,"Redox (reduction–oxidation,  RED-oks,  REE-doks) is a type of chemical reaction in which the oxidation states of substrate change."
Candle,"A candle is an ignitable wick embedded in wax, or another flammable solid substance such as tallow, that provides light, and in some cases, a fragrance."
Road surface painting,Not found on Wikipedia
Tool,A tool is an object that can extend an individual's ability to modify features of the surrounding environment or help them accomplish a particular task.
Cooking,"Cooking, cookery, or culinary arts is the art, science and craft of using heat to prepare food for consumption."
Oxygen,Oxygen is the chemical element with the symbol O and atomic number 8.
Liquid,A liquid is a nearly incompressible fluid that conforms to the shape of its container but retains a (nearly) constant volume independent of pressure.
Burns away completely,Not found on Wikipedia
Incense stick,Not found on Wikipedia
Matchstick,Not found on Wikipedia
Condiment,"A condiment is a preparation that is added to food, typically after cooking, to impart a specific flavor, to enhance the flavor, or to complement the dish."
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Salt,"Salt is a mineral composed primarily of sodium chloride (NaCl), a chemical compound belonging to the larger class of salts; salt in the form of a natural crystalline mineral is known as rock salt or halite."
Drink,A drink or beverage is a liquid intended for human consumption.
Chemical change,"Chemical changes occur when a substance combines with another to form a new substance, called chemical synthesis or, alternatively, chemical decomposition into two or more different substances."
Class (computer science),Not found on Wikipedia
Square (geometry),Not found on Wikipedia
Chemical reaction,A chemical reaction is a process that leads to the chemical transformation of one set of chemical substances to another.
Juice,Juice is a drink made from the extraction or pressing of the natural liquid contained in fruit and vegetables.
Lemon juice,Not found on Wikipedia
Message,A message is a discrete unit of communication intended by the source for consumption by some recipient or group of recipients.
Fire,"Fire is the rapid oxidation of a material (the fuel) in the exothermic chemical process of combustion, releasing heat, light, and various reaction products."
Color,Color (American English) or colour (Commonwealth English) is the visual perception based on the electromagnetic spectrum.
Neurotransformation,Not found on Wikipedia
Preparation,Preparation may refer to:
Change,Change or Changing may refer to:
Clothing,"Clothing (also known as clothes, garments, dress, apparel, or attire) is any item worn on the body."
Change,Change or Changing may refer to:
Dress,A dress (also known as a frock or a gown) is a garment traditionally worn by women or girls consisting of a skirt with an attached bodice (or a matching bodice giving the effect of a one-piece garment).
Br oke,Not found on Wikipedia
Chart,"A chart (sometimes known as a graph) is a graphical representation for data visualization, in which ""the data is represented by symbols, such as bars in a bar chart, lines in a line chart, or slices in a pie chart""."
Drawing,Drawing is a form of visual art in which an artist uses instruments to mark paper or other two-dimensional surface.
Sunset,"Sunset, also known as sundown, is the daily disappearance of the Sun below the horizon due to Earth's rotation."
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Inflorescence,An inflorescence is a group or cluster of flowers arranged on a stem that is composed of a main branch or a complicated arrangement of branches.
River Tyne,The River Tyne  (listen) is a river in North East England.
Park,"A park is an area of natural, semi-natural or planted space set aside for human enjoyment and recreation or for the protection of wildlife or natural habitats."
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Root,"In vascular plants, the roots are the organs of a plant that are modified to provide anchorage for the plant and take in water and nutrients into the plant body, which allows  plants to grow taller and faster."
Plant stem,"A stem is one of two main structural axes of a vascular plant, the other being the root."
Organism,"In biology, an organism (from Ancient Greek  ὄργανον (órganon) 'instrument, implement, tool', and  -ισμός (-ismós)) is any living system that functions as an individual entity."
Hardness,"In materials science, hardness (antonym: softness) is a measure of the resistance to localized plastic deformation induced by either mechanical indentation or abrasion."
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Table (plant diagram),Not found on Wikipedia
