entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Speed,physical quantity,Velocity,physical quantity,calculated from,"Under what condition(s) is the magnitude of average velocity of an object equal to its average speed?
"
Odometer,measuring instrument,Car,motor vehicle,part of,"What does the odometer of an automobile measure?
"
4.4.4,video game,Konami,video game developer,publisher,"4.
"
Uniform motion,motion,Motion,change,subclass of,"What does the path of an object look like when it is in uniform motion?
"
4.5,literary work,Doctor Who,television series,part of the series,"5.
"
Spacecraft,flying machine,Ground station,facility,subclass of,"During an experiment, a signal from a spaceship reached the ground station in five minutes.
"
Spacecraft,flying machine,Ground station,facility,different from,"What was the distance of the spaceship from the ground station?
"
Metre per second,SI derived unit,Speed of light,physical constant,measured physical quantity,"The signal travels at the speed of light, that is, 3 × 108 m s–1.
"
Odometer,measuring instrument,Car,motor vehicle,part of,"Example 7.2 The odometer of a car reads 2000 km at the start of a trip and 2400 km at the end of the trip.
"
Metre,unit of length,Speed,physical quantity,part of,"If the trip took 8 h, calculate the average speed of the car in km h–1 and m s–1.
"
Velocity,physical quantity,Physical quantity,physical property,subclass of,"Solution: Distance covered by the car, s = 2400 km – 2000 km = 400 km Time elapsed, t = 8 h Average speed of the car is, vav = 400 km 8 h = s t = 50 km h–1 Q Rationalised 2023-24  MOTION 77 To answer such a question, we have to introduce another physical quantity called acceleration, which is a measure of the change in the velocity of an object per unit time.
"
Accelerated motion,motion,Motion,change,subclass of,"That is, acceleration = change in velocity time taken If the velocity of an object changes from an initial value u to the final value v in time t, the acceleration a is, v – u a = t (7.3) This kind of motion is known as accelerated motion.
"
Acceleration,physical quantity,Velocity,physical quantity,opposite of,"The acceleration is taken to be positive if it is in the direction of velocity and negative when it is opposite to the direction of velocity.
"
Metre,unit of length,International System of Units,nan,part of,"The SI unit of acceleration is m s–2 .
"
Velocity,physical quantity,Acceleration,physical quantity,calculated from,"If an object travels in a straight line and its velocity increases or decreases by equal amounts in equal intervals of time, then the acceleration of the object is said to be uniform.
"
Uniformly accelerated motion,motion,Motion,change,instance of,"The motion of a freely falling body is an example of uniformly accelerated motion.
"
Acceleration,physical quantity,Velocity,physical quantity,calculated from,"On the other hand, an object can travel with non-uniform acceleration if its velocity changes at a non-uniform rate.
"
Acceleration,physical quantity,Speed,physical quantity,calculated from,"For example, if a car travelling along a straight road increases its speed by unequal amounts in equal intervals of time, then the car is said to be moving with non-uniform acceleration.
"
Acceleration,physical quantity,Direct current,fluid flow,opposite of,"Activity ______________ 7.8 • In your everyday life you come across a range of motions in which (a) acceleration is in the direction of motion, (b) acceleration is against the direction of motion, (c) acceleration is uniform, (d) acceleration is non-uniform.
"
John F. Kennedy School of Government,private school,Harvard University,nan,part of,"• Can you identify one example each for the above type of motion?
"
SI derived unit,SI derived unit,Velocity,physical quantity,measured physical quantity,"Example 7.4 Starting from a stationary position, Rahul paddles his bicycle to attain a velocity of 6 m s–1 in 30 s.
"
Metre per second,SI derived unit,Velocity,physical quantity,measured physical quantity,"Then he applies brakes such that the velocity of the bicycle comes down to 4 m s-1 in the next 5 s.
"
Acceleration,physical quantity,Bicycle,sports equipment,calculated from,"Calculate the acceleration of the bicycle in both the cases.
"
Initial velocity,velocity,Final velocity,velocity,followed by,"Solution: In the first case: initial velocity, u = 0 ; final velocity, v = 6 m s–1 ; time, t = 30 s .
"
Eq.,natural script,Natural script,natural script,instance of,"From Eq.
"
Initial velocity,Velocity,Final velocity,velocity,followed by,"(8.3), we have v – u a = t Substituting the given values of u,v and t in the above equation, we get ( ) –1 –1 6m s – 0m s = 30 s a = 0.2 m s–2 In the second case: initial velocity, u = 6 m s–1; final velocity, v = 4 m s–1; time, t = 5 s.
"
4m s,unit of measurement,6m s,unit of measurement,followed by,"Then, ( ) –1 –1 4m s – 6m s = 5 s a = –0.4 m s–2 .
"
SI derived unit,UCUM derived unit,Acceleration,physical quantity,measured physical quantity,"The acceleration of the bicycle in the first case is 0.2 m s–2 and in the second case, it is –0.4 m s–2.
"
1,natural number,Natural number,integer sequence,instance of,"uestions 1.
"
Acceleration,physical quantity,Acceleration,physical quantity,calculated from,"When will you say a body is in (i) uniform acceleration?
"
Uniform acceleration,acceleration,Acceleration,physical quantity,subclass of,"(ii) non- uniform acceleration?
"
2.2,"version, edition, or translation",3.1,"version, edition, or translation",followed by,"2.
"
Bus,motor vehicle,Speed,physical quantity,has effect,"A bus decreases its speed from 80 km h–1 to 60 km h–1 in 5 s.
"
Acceleration,physical quantity,Speed,physical quantity,calculated from,"Find the acceleration of the bus.
"
3.3,"version, edition, or translation",4.1,"version, edition, or translation",followed by,"3.
"
Acceleration,physical quantity,Acceleration,physical quantity,calculated from,"Find its acceleration.
"
One Day International,form of cricket,Cricket,type of sport,subclass of,"For example, in the telecast of a one-day cricket match, vertical bar graphs show the run rate of a team in each over.
"
Time,series,Physical quantity,physical property,instance of,"In this case, line graphs show dependence of one physical quantity, such as distance or velocity, on another quantity, such as time.
"
Distance–time graph,function,Time,series,uses,"7.4.1 DISTANCE–TIME GRAPHS The change in the position of an object with time can be represented on the distance-time graph adopting a convenient scale of choice.
"
Time,series,Distance,physical quantity,followed by,"In this graph, time is taken along the x–axis and distance is taken along the y-axis.
"
Distance,physical quantity,Speed,physical quantity,calculated from,"Fig. 7.3: Distance-time graph of an object moving with uniform speed We know that when an object travels equal distances in equal intervals of time, it moves with uniform speed.
"
Distance,physical quantity,Time,series,calculated from,"This shows that the distance travelled by the object is directly proportional to time taken.
"
Distance,physical quantity,Time,series,calculated from,"Thus, for uniform speed, a graph of distance travelled against time is a straight line, as shown in Fig. 7.3.
"
Velocity,physical quantity,Speed,physical quantity,different from,"Note that, you can also use the term uniform velocity in place of uniform speed if you take the magnitude of displacement equal to the distance travelled by the object along the y-axis.
"
Speed,physical quantity,Distance,physical quantity,calculated from,"We can use the distance-time graph to determine the speed of an object.
"
Fig 7,graph,Distance-time graph,function,instance of,"To do so, consider a small part AB of the distance-time graph shown in Fig 7.3.
"
X axis,axis,Y axis,axis,opposite of,"Draw a line parallel to the x-axis from point A and another line parallel to the y-axis from point B.
"
ABC triangle,triangle,Triangle,geometric shape,instance of,"These two lines meet each other at point C to form a triangle ABC.
"
Distance,physical quantity,Time interval,time standard,calculated from,"Now, on the graph, AC denotes the time interval (t2 – t1) while BC corresponds to the distance (s2 – s1).
"
Distance,physical quantity,Time,series,calculated from,"We can see from the graph that as the object moves from the point A to B, it covers a distance (s2 – s1) in time (t2 – t1).
"
Speed,physical quantity,Acceleration,motion,calculated from,"The speed, v of the object, therefore can be represented as v = 2 1 2 1 – – s s t t (7.4) We can also plot the distance-time graph for accelerated motion.
"
Second,time interval,Time interval,physical quantity,instance of,"Table 7.2 shows the distance travelled by a car in a time interval of two seconds.
"
Time in seconds,time interval,Time interval,time standard,subclass of,"Table 7.2: Distance travelled by a car at regular time intervals Time in seconds Distance in metres 0 0 2 1 4 4 6 9 8 16 10 25 12 36 Rationalised 2023-24  MOTION 79 The distance-time graph for the motion of the car is shown in Fig. 7.4.
"
Distance-time graph,distance-function graph,Distance-function graph,distance-function graph,subclass of,"Note that the shape of this graph is different from the earlier distance-time graph (Fig. 7.3) for uniform motion.
"
Distance,physical quantity,Time,series,calculated from,"The nature of this graph shows non- linear variation of the distance travelled by the car with time.
"
Speed,physical quantity,Motion,change,subclass of,"Thus, the graph shown in Fig 7.4 represents motion with non-uniform speed.
"
Velocity,physical quantity,Time,series,calculated from,"7.4.2 VELOCITY-TIME GRAPHS The variation in velocity with time for an object moving in a straight line can be represented by a velocity-time graph.
"
Velocity,physical quantity,Time,series,calculated from,"In this graph, time is represented along the x-axis and the velocity Fig. 7.4: Distance-time graph for a car moving with non-uniform speed Fig.
"
Velocity,physical quantity,Time,series,calculated from,"If the object moves at uniform velocity, the height of its velocity-time graph will not change with time (Fig. 7.5).
"
H,UCUM derived unit,Velocity,physical quantity,measured physical quantity,"Fig. 7.5 shows the velocity-time graph for a car moving with uniform velocity of 40 km h–1.
"
Velocity,physical quantity,Time,series,calculated from,"We know that the product of velocity and time give displacement of an object moving with uniform velocity.
"
Time axis, axis,Velocity,physical quantity,part of,"The area enclosed by velocity-time graph and the time axis will be equal to the magnitude of the displacement.
"
Distance,physical quantity,Time,series,calculated from,"To know the distance moved by the car between time t1 and t2 using Fig. 7.5, draw perpendiculars from the points corresponding to the time t1 and t2 on the graph.
"
Velocity,physical quantity,Time,series,calculated from,"The velocity of 40 km h–1 is represented by the height AC or BD and the time (t2 – t1) is represented by the length AB.
"
Distance,physical quantity,Area,physical quantity,calculated from,"So, the distance s moved by the car in time (t2 – t1) can be expressed as s = AC × CD = [(40 km h–1) × (t2 – t1) h] = 40 (t2– t1) km = area of the rectangle ABDC (shaded in Fig. 7.5).
"
Velocity,physical quantity,Time,series,calculated from,"We can also study about uniformly accelerated motion by plotting its velocity– time graph.
"
Internal combustion engine,combustion engine,Car,motor vehicle,part of,"Consider a car being driven along a straight road for testing its engine.
"
Speedometer,measuring instrument,Velocity,physical quantity,measures,"Suppose a person sitting next to the driver records its velocity after every 5 seconds by noting the reading of the speedometer of the car.
"
Metre per second,SI derived unit,Velocity,physical quantity,measured physical quantity,"The velocity of the car, in km h–1 as well as in m s–1,  at different instants of time is shown in table 7.3.
"
Time velocity,physical quantity,Speed of light,physical quantity,calculated from,"Table 7.3: Velocity of a car at regular instants of time Time Velocity of the car (s) (m s–1) (km h –1) 0 0 0 5 2.5 9 10 5.0 18 15 7.5 27 20 10.0 36 25 12.5 45 30 15.0 54 Rationalised 2023-24  SCIENCE 80 In this case, the velocity-time graph for the motion of the car is shown in Fig. 7.6.
"
Interval,physical quantity,Velocity,physical quantity,calculated from,"The nature of the graph shows that velocity changes by equal amounts in equal intervals of time.
"
Velocity,physical quantity,Time,series,calculated from,"You can also determine the distance moved by the car from its velocity-time graph.
"
Velocity,physical quantity,Distance,physical quantity,calculated from,"If the car would have been moving with uniform velocity, the distance travelled by it would be represented by the area ABCD under the graph (Fig. 7.6).
"
Velocity,physical quantity,Acceleration,physical quantity,calculated from,"Since the magnitude of the velocity of the car is changing due to acceleration, the distance s travelled by the car will be given by the area ABCDE under the velocity-time graph (Fig. 7.6).
"
Area,physical quantity,Area,physical quantity,calculated from,"That is, s = area ABCDE = area of the rectangle ABCD + area of the triangle ADE = AB × BC + 1 2 (AD × DE) In the case of non-uniformly accelerated motion, velocity-time graphs can have any shape.
"
Velocity-time graph,None,Accelerated motion,motion,facet of,"Fig. 7.7: Velocity-time graphs of an object in non- uniformly accelerated motion.
"
Velocity,physical quantity,Time,series,calculated from,"Fig. 7.7(a) shows a velocity-time graph that represents the motion of an object whose velocity is decreasing with time while Fig.
"
Velocity,physical quantity,Time,series,calculated from,"7.7 (b) shows the velocity-time graph representing the non-uniform variation of velocity of the object with time.
"
Metre per second,SI derived unit,Velocity,physical quantity,measured physical quantity,"Velocity (km h –1) Rationalised 2023-24  MOTION 81 4.
"
Area,physical quantity,Physical quantity,physical property,subclass of,"What is the quantity which is measured by the area occupied below the velocity-time graph?
"
Velocity,physical quantity,Acceleration,physical quantity,calculated from,"7.5 Equations of Motion When an object moves along a straight line with uniform acceleration, it is possible to relate its velocity, acceleration during motion and the distance covered by it in a certain time interval by a set of equations known as the equations of motion.
"
Acceleration,physical quantity,Velocity,physical quantity,calculated from,"For convenience, a set of three such equations are given below: v = u + at (7.5) s = ut + ½ at2 (7.6) 2 a s = v2 – u2 (7.7) where u is the initial velocity of the object which moves with uniform acceleration a for time t, v is the final velocity, and s is the distance travelled by the object in time t.
"
Eq.,Latin phrase,Latin phrase,language,part of,"Eq.
"
Velocity–time relation,physical law,Physical law,law,instance of,"(7.5) describes the velocity-time relation and Eq.
"
Eq.,Latin phrase,Latin phrase,language,part of,"Eq.
"
Graphical method,algorithm,Euclidean geometry,area of mathematics,subclass of,"These three equations can be derived by graphical method.
"
H,UCUM derived unit,Velocity,physical quantity,measured physical quantity,"Example 7.5 A train starting from rest attains a velocity of 72 km h–1 in 5 minutes.
"
Velocity,physical quantity,Acceleration,physical quantity,calculated from,"Assuming that the acceleration is uniform, find (i) the acceleration and (ii) the distance travelled by the train for attaining this velocity.
"
Metre,unit of length,Centimetre,unit of length,part of,"Solution: We have been given u = 0 ; v = 72 km h–1 = 20 m s-1 and t = 5 minutes = 300 s.
"
Feroz Feroz,human,Sania Feroz,human,sibling,"(7.5) we know that ( a =v – u) t –1 –1 –2 20 m s – 0 m s = 300s =1 m s 15 Activity _____________7.10 • Feroz and his sister Sania go to school on their bicycles.
"
Kingston upon Hull,city,River Tyne,river,located in or next to body of water,"Both of them start at the same time from their home but take different times to reach the school although they follow the same route.
"
Table 7.5,diagram,Distance-time graph,diagram,instance of,"Table 7.5 shows the distance travelled by them in different times Table 7.5: Distance covered by Feroz and Sania at different times on their bicycles Time Distance Distance travelled travelled by Feroz by Sania (km) (km) 8:00 am 0 0 8:05 am 1.0 0.8 8:10 am 1.9 1.6 8:15 am 2.8 2.3 8:20 am 3.6 3.0 8:25 am – 3.6 Q • Plot the distance-time graph for their motions on the same scale and interpret.
"
1,natural number,Natural number,integer sequence,instance of,"uestions 1.
"
Uniform motion,motion,Motion,change,subclass of,"What is the nature of the distance-time graphs for uniform and non-uniform motion of an object?
"
2.2,"version, edition, or translation",3.1,"version, edition, or translation",followed by,"2.
"
Distance,physical quantity,Time,series,calculated from,"What can you say about the motion of an object whose distance-time graph is a straight line parallel to the time axis?
"
3.3,"version, edition, or translation",4.1,"version, edition, or translation",followed by,"3.
"
Speed,physical quantity,Time,series,calculated from,"What can you say about the motion of an object if its speed- time graph is a straight line parallel to the time axis?
"
Metre per second,SI derived unit,Acceleration,physical quantity,measured physical quantity,"Rationalised 2023-24  SCIENCE 82 Example 7.7 The brakes applied to a car produce an acceleration of 6 m s-2 in the opposite direction to the motion.
"
Car brake,aircraft component,Stop,transport by country or region,use,"If the car takes 2 s to stop after the application of  brakes, calculate the distance it travels during this time.
"
Eq.,natural script,Natural script,natural script,instance of,"From Eq.
"
Metre,unit of length,Second,time interval,part of,"(7.5) we know that v = u + at 0 = u + (– 6 m s–2) × 2 s or u = 12 m s–1 .
"
Eq.,natural script,Natural script,natural script,instance of,"From Eq.
"
Brake,aircraft component,Car,motor vehicle,part of,"(7.6) we get s = u t + 1 2  a t 2 = (12 m s–1 ) × (2 s) + 1 2   (–6 m s–2 ) (2 s)2 = 24 m – 12 m = 12 m Thus, the car will move 12 m before it stops after the application of brakes.
"
Vehicle,container,Road,thoroughfare,part of,"Can you now appreciate why drivers are cautioned to maintain some distance between vehicles while travelling on the road?
"
1,natural number,Natural number,integer sequence,instance of,"uestions 1.
"
Metre per second,SI derived unit,Acceleration,physical quantity,measured physical quantity,"A bus starting from rest moves with a uniform acceleration of 0.1 m s-2  for 2 minutes.
"
Speed,physical quantity,Distance,physical quantity,subclass of,"Find (a) the speed acquired, (b) the distance travelled.
"
2.2,"version, edition, or translation",3.1,"version, edition, or translation",followed by,"2.
"
Train,mode of transport,Speed,physical quantity,use,"A train is travelling at a speed of 90 km h–1.
"
SI derived unit,SI derived unit,Acceleration,physical quantity,measured physical quantity,"Brakes are applied so as to produce a uniform acceleration of – 0.5 m s-2.
"
Lebanon,sovereign state,Rome,comune of Italy,capital,"Find how far the train will go before it is brought to rest.
"
3.3,"version, edition, or translation",4.1,"version, edition, or translation",followed by,"3.
"
Acceleration,physical quantity,Speed,physical quantity,calculated from,"A trolley, while going down an inclined plane, has an acceleration of 2 cm s-2.
"
Velocity,physical quantity,Second,time interval,calculated from,"What will be its velocity 3 s after the start?
"
Eucharist,biblical topic,Epistle,literary genre,instance of,"(ii) From Eq.
"
Metre,unit of length,Metre,unit of length,part of,"(7.7) we have 2 a s = v2 – u2 = v2 – 0 Thus, 2 –1 2 –2 = 2 (20 m s ) = 2×(1/15) m s v s a = 3000 m = 3 km The acceleration of the train is 1 15 m s– 2 and the distance travelled is 3 km.
"
Acceleration,physical quantity,Distance,physical quantity,calculated from,"Calculate (i) the acceleration and (ii) the distance covered by the car in that time.
"
Time,series,Time,series,part of,"Solution: We are given that u = 18 km h–1  = 5 m s–1 v = 36 km h–1  = 10 m s–1 and t = 5 s .
"
Metre,unit of length,Centimetre,unit of length,part of,"(7.5) we have v – u a = t = -1 -1 10 m s  – 5 m s 5s = 1 m s–2 (ii) From Eq.
"
Speed of light,physical quantity,Metre,unit of length,calculated from,"(7.6) we have s = u t + 1 2 a t 2 = 5 m s–1 × 5 s + 1 2 × 1 m s–2 × (5 s)2 = 25 m + 12.5 m = 37.5 m The acceleration of the car is 1 m s –2 and the distance covered is 37.5 m.
"
Q Rationalised 2023-24,"version, edition, or translation",MOTION 83 4,"version, edition, or translation",edition or translation of,"Q Rationalised 2023-24  MOTION 83 4.
"
Metre per second,SI derived unit,Acceleration,physical quantity,measured physical quantity,"A racing car has a uniform acceleration of 4 m s-2.
"
10 s,unit of measurement,Distance,physical quantity,part of,"What distance will it cover in 10 s after start?
"
4.5,literary work,Doctor Who,television series,part of the series,"5.
"
SI derived unit,SI derived unit,Velocity,physical quantity,measured physical quantity,"A stone is thrown in a vertically upward direction with a velocity of 5 m s-1.
"
SI derived unit,SI derived unit,Acceleration,physical quantity,measured physical quantity,"If the acceleration of the stone during its motion is 10 m s–2 in the downward direction, what will be the height attained by the stone and how much time will it take to reach there?
"
Acceleration,physical quantity,Velocity,physical quantity,calculated from,"7.6 Uniform Circular Motion When the velocity of an object changes, we say that the object is accelerating.
"
Magnitude,physical quantity,Velocity,physical quantity,calculated from,"The change in the velocity could be due to change in its magnitude or the direction of the motion or both.
"
Velocity,physical quantity,Direction of motion,motion,different from,"Can you think of an example when an object does not change its magnitude of velocity but only its direction of motion?
"
Compact disc,machine-readable medium,Double disc,machine-readable medium,followed by,"straight parts AB, BC, CD and DA of the track.
"
Sport of athletics,type of sport,Athlete,occupation,practiced by,"How many times will the athlete have to change his direction of motion, while he completes one round?
"
Change direction of motion,motion,Motion,change,subclass of,"It is clear that to move in a rectangular track once, he has to change his direction of motion four times.
"
ABCDEF,None,Hexagon,polygon,shape,"Now, suppose instead of a rectangular track, the athlete is running along a hexagonal shaped path ABCDEF, as shown in Fig. 7.8(b).
"
Sport of athletics,type of sport,Athlete,occupation,practiced by,"In this situation, the athlete will have to change his direction six times while he  completes one round.
"
Octagon,polygon,Hexagon,polygon,follows,"What if the track was not a hexagon but a regular octagon, with eight equal sides as shown by ABCDEFGH in Fig. 7.8(c)?
"
China,sovereign state,Beijing,city,contains administrative territorial entity,"What would happen to the shape of the track as we go on increasing the number of sides indefinitely?
"
Velocity,physical quantity,Directional velocity,velocity,calculated from,"If the athlete moves with a velocity of constant magnitude along the circular path, the only change in his velocity is due to the change in the direction of motion.
"
Accelerated motion,motion,Motion,change,subclass of,"The motion of the athlete moving along a circular path is, therefore, an example of an accelerated motion.
"
Circle,locus,Circle of radius,circle of measurement,has parts of the class,"We know  that the circumference of a circle of radius r is given by π 2 r .
"
Uniform circular motion,motion,Motion,change,subclass of,"If the athlete takes t seconds to go once around the circular path of radius r, the speed v is given by π 2 r v = t (7.8) When an object moves in a circular path with uniform speed, its motion is called uniform circular motion.
"
Octagon,polygon,Hexagon,polygon,followed by,"(a) Rectangular track (b) Hexagonal track (d) A circular track (c) Octagonal shaped track Fig. 7.8: The motion of an athlete along closed tracks of different shapes.
"
Closed path,path,Motion,change,subclass of,"Let us consider an example of the motion of a body along a closed path.
"
SCIENCE 84,literary work,Rationalisation of science,None,main subject,"Let us assume that the athlete runs at a uniform speed on the Rationalised 2023-24  SCIENCE 84 Activity _____________7.11 • Take a piece of thread and tie a small piece of stone at one of its ends.
"
Fig. 7,sculpture,Yarn,textile arts tool,depicts,"Move the stone to describe a circular path with constant speed by holding the thread at the other end, as shown in Fig. 7.9.
"
Tangential line,line,Straight line,line,opposite of,"If you carefully note, on being released the stone moves along a straight line tangential to the circular path.
"
Movement,change,Change,change,part of,"This is because once the stone is released, it continues to move along the direction it has been moving at that instant.
"
Paleolithic,archaeological period,History of science,aspect of history,part of,"This shows that the direction of motion changed at every point when the stone was moving along the circular path.
"
Hammer throw,sports discipline,Sport of athletics,type of sport,sport,"When an athlete throws a hammer or a discus in a sports meet, he/she holds the hammer or the discus in his/her hand and gives it a circular motion by rotating his/ her own body.
"
Moon,natural satellite,Earth,inner planet,parent astronomical body,"There are many more familiar examples of objects moving under uniform circular motion, such as the motion of the moon and the earth, a satellite in a circular orbit around the earth, a cyclist on a circular track at constant speed and so on.
"
Velocity,physical quantity,Motion,change,subclass of,"• The motion of an object could be uniform or non-uniform depending on whether its velocity is constant or changing.
"
Speed,physical quantity,Distance,physical quantity,calculated from,"• The speed of an object is the distance covered per unit time, and velocity is the displacement per unit time.
"
Velocity,physical quantity,Time,series,calculated from,"• The acceleration of an object is the change in velocity per unit time.
"
Velocity,physical quantity,Acceleration,physical quantity,calculated from,"• The motion of an object moving at uniform acceleration can be described with the help of the following equations, namely v = u + at s = ut + ½ at2 2as = v2 – u2 Fig. 7.9: A stone describing a circular path with a velocity of constant magnitude.
"
Nefertiti,island,Nefertiti River,river,located in or next to body of water,"• By repeating the activity for a few times and releasing the stone at different positions of the circular path, check whether the direction in which the stone moves remains the same or not.
"
Velocity,physical quantity,Acceleration,physical quantity,calculated from,"Rationalised 2023-24  MOTION 85 where u is initial velocity of the object, which moves with uniform acceleration a for time t, v is its final velocity and s is the distance it travelled in time t.
"
Uniform circular motion,motion,Motion,change,subclass of,"• If an object moves in a circular path with uniform speed, its motion is called uniform circular motion.
"
Exercises 1,None,Physical exercise,type of sport,part of,"Exercises 1.
"
Minutes and seconds,UCUM derived unit,Distance,physical quantity,measured physical quantity,"What will be the distance covered and the displacement at the end of 2 minutes 20 s?
"
2.2,"version, edition, or translation",3.1,"version, edition, or translation",followed by,"2.
"
A,cardinal direction,B,cardinal direction,opposite of,"Joseph jogs from one end A to the other end B of a straight 300 m road in 2 minutes 30 seconds and then turns around and jogs 100 m back to point C in another 1 minute.
"
Velocity,physical quantity,Speed,physical quantity,calculated from,"What are Joseph’s average speeds and velocities in jogging (a) from A to B and (b) from A to C?
"
3.3,"version, edition, or translation",4.1,"version, edition, or translation",followed by,"3.
"
H,UCUM derived unit,Speed,physical quantity,measured physical quantity,"Abdul, while driving to school, computes the average speed for his trip to be 20 km h–1.
"
Italy,sovereign state,Rome,comune of Italy,capital,"On his return trip along the same route, there is less traffic and the average speed is 30 km h–1.
"
India,sovereign state,West Bengal,state of India,contains administrative territorial entity,"What is the average speed for Abdul’s trip?
"
4.4.4,video game,Konami,video game developer,publisher,"4.
"
Motorboat,boat,Lake,landform,located in or next to body of water,"A motorboat starting from rest on a lake accelerates in a straight line at a constant rate of 3.0 m s–2 for 8.0 s.
"
Italy,sovereign state,Sicily,cultural region,contains administrative territorial entity,"How far does the boat travel during this time?
"
4.5,literary work,Doctor Who,television series,part of the series,"5.
"
Car brake,aircraft component,Car,motor vehicle,part of,"A driver of a car travelling at 52 km h–1 applies the brakes Shade the area on the graph that represents the distance travelled by the car during the period.
"
Uniform motion,motion,Motion,change,subclass of,"(b) Which part of the graph represents uniform motion of the car?
"
5.6,"version, edition, or translation",5.7,"version, edition, or translation",followed by,"6.
"
Fig 7,distance-time graph,Distance-time graph,function,instance of,"Fig 7.10 shows the distance-time graph of three objects A,B and C.
"
Italy,sovereign state,Rome,comune of Italy,capital,"(b) Are all three ever at the same point on the road?
"
A,Latin phrase,B,Latin phrase,followed by,"(c) How far has C travelled when B passes A?
"
5.7,album,6.1,album,followed by,"7.
"
Metre s-2,SI derived unit,Velocity,physical quantity,measured physical quantity,"If its velocity increases uniformly at the rate of 10 m s-2, with what velocity will it strike the ground?
"
India,sovereign state,West Bengal,state of India,contains administrative territorial entity,"After what time will it strike the ground?
"
8.8,album,9.9,album,followed by,"8.
"
Distance,physical quantity,Area,physical quantity,calculated from,"Shade the area on the graph that represents the distance travelled by the car during the period.
"
Uniform motion,motion,Motion,change,subclass of,"(b) Which part of the graph represents uniform motion of the car?
"
Speed,physical quantity,Velocity,physical quantity,opposite of,"State which of the following situations are possible and give an example for each of these: (a) an object with a constant acceleration but with zero velocity (b) an object moving with an acceleration but with uniform speed.
"
10.10.10,literary work,Doctor Who,television series,part of the series,"10.
"
Satellite,nan,Orbit,geographic location,parent astronomical body,"An artificial satellite is moving in a circular orbit of radius 42250 km.
"
Speed,physical quantity,Velocity,physical quantity,calculated from,"Calculate its speed if it takes 24 hours to revolve around the earth.
"
Uniform motion,motion,Non-uniform motion,motion,opposite of,"We saw that such a motion can be uniform or non-uniform.
"
The motion,phenomenon,Motion,change,facet of,"We have not yet discovered what causes the motion.
"
Speed,physical quantity,Time,series,calculated from,"Why does the speed of an object change with time?
"
Cause,effect,Motion,change,subclass of,"Do all motions require a cause?
"
HIV,organisms known by a particular common name,HIV/AIDS,syndrome,has effect,"If so, what is the nature of this cause?
"
John Milton,human,Paradise Lost,written work,notable work,"In this chapter we shall make an attempt to quench all such curiosities.
"
Philosopher,profession,Scientist,profession,subclass of,"For many centuries, the problem of motion and its causes had puzzled scientists and philosophers.
"
Galileo Galilei,human,Isaac Newton,human,influenced by,"This remained the belief until Galileo Galilei and Isaac Newton developed an entirely different approach to understand motion.
"
Stationary object,stationary object,Motion,change,opposite of,"In our everyday life we observe that some effort is required to put a stationary object into motion or to stop a moving object.
"
Pushing,motion,Motion,change,instance of,"We ordinarily experience this as a muscular effort and say that we must push or hit or pull on an object to change its state of motion.
"
What is it,film,Film,series,instance of,"What is it?
"
Force,physical quantity,Taste,perception,has effect,"In fact, no one has seen, tasted or felt a force.
"
Force,physical quantity,Force,physical quantity,has effect,"However, we always see or feel the effect of a force.
"
Force,physical quantity,Force,physical quantity,has effect,"It can only be explained by describing what happens when a force is applied to an object.
"
Pushing,motion,Motion,change,subclass of,"Pushing, hitting and pulling of objects are all ways of bringing objects in motion (Fig. 8.1).
"
Velocity,physical quantity,Direction of motion,motion,calculated from,"From your studies in earlier classes, you are also familiar with the fact that a force can be used to change the magnitude of velocity of an object (that is, to make the object move faster or slower) or to change its direction of motion.
"
Shape,mathematical concept,Size,physical quantity,different from,"We also know that a force can change the shape and size of objects (Fig. 8.2).
"
Hockey stick,sports stick,Ice hockey,type of sport,use,"(c) The hockey stick hits the ball forward (b) The drawer is pulled.
"
Pushing,motion,Motion,change,instance of,"Fig. 8.1:    Pushing, pulling, or hitting objects change their state of motion.
"
Friction,nonconservative force,Force,physical quantity,opposite of,"8 FFFFFORCE ORCE ORCE ORCE ORCE     AND AND AND AND AND L L L L LAWS AWS AWS AWS AWS     OF OF OF OF OF M M M M MOTION OTION OTION OTION OTION C hapter Rationalised 2023-24  SCIENCE 88 box with a small force, the box does not move because of friction acting in a direction opposite to the push [Fig. 8.4(a)].
"
Friction,nonconservative force,Force,physical quantity,subclass of,"This friction force arises between two surfaces in contact; in this case, between the bottom of the box and floor’s rough surface.
"
Pushing force,force,Movement force,force,opposite of,"It balances the pushing force and therefore the box does not move.
"
Friction,nonconservative force,Pushing force,force,opposite of,"This is because the friction force still balances the pushing force.
"
Friction,nonconservative force,Pushing force,force,greater than,"If the children push the box harder still, the pushing force becomes bigger than the friction force [Fig. 8.4(c)].
"
Unbalanced force,force,Force,physical quantity,subclass of,"There is an unbalanced force.
"
Wolfgang Amadeus Mozart,human,The Magic Flute,dramatico-musical work,notable work,"So the box starts moving.
"
Bicycle,sports equipment,Cycling,activity,use,"What happens when we ride a bicycle?
"
Pedalling,activity,Bicycle,sports equipment,part of,"When we stop pedalling, the bicycle begins to slow down.
"
Friction,nonconservative force,Direct current,flow,opposite of,"This is again because of the friction forces acting opposite to the direction of motion.
"
Pedalling,activity,Bicycle,sports equipment,part of,"In order to keep the bicycle moving, we have to start pedalling again.
"
